source_lang,target_lang,quant_level,bleu,chrf,comet22,kiwi23,num_sentences,benchmark,source_lang_resource_level,target_lang_resource_level
English,German,4-Bit,37.0,63.14,0.8676,0.8085,1012,FloRes,High Resource,High Resource
German,English,4-Bit,44.43,68.53,0.8914,0.8994,1012,FloRes,High Resource,High Resource
English,Russian,4-Bit,30.39,57.05,0.8827,0.8232,1012,FloRes,High Resource,High Resource
Russian,English,4-Bit,36.61,62.64,0.8663,0.8523,1012,FloRes,High Resource,High Resource
English,French,4-Bit,48.37,69.38,0.8732,0.8572,1012,FloRes,High Resource,High Resource
French,English,4-Bit,45.97,69.29,0.8908,0.9129,1012,FloRes,High Resource,High Resource
English,Dutch,4-Bit,26.36,56.61,0.8682,0.8513,1012,FloRes,High Resource,Mid Resource
Dutch,English,4-Bit,33.73,60.69,0.8746,0.9109,1012,FloRes,Mid Resource,High Resource
English,Polish,4-Bit,20.07,49.88,0.8758,0.8052,1012,FloRes,High Resource,Mid Resource
Polish,English,4-Bit,31.09,58.68,0.8597,0.772,1012,FloRes,Mid Resource,High Resource
English,Latvian,4-Bit,21.68,51.79,0.8445,0.678,1012,FloRes,High Resource,Mid Resource
Latvian,English,4-Bit,35.53,61.95,0.8649,0.849,1012,FloRes,Mid Resource,High Resource
English,Zulu,4-Bit,18.19,57.5,0.778,0.6956,1012,FloRes,High Resource,Low Resource
Zulu,English,4-Bit,39.68,61.47,0.8174,0.726,1012,FloRes,Low Resource,High Resource
English,Telugu,4-Bit,20.97,56.29,0.8541,0.6694,1012,FloRes,High Resource,Low Resource
Telugu,English,4-Bit,42.54,66.65,0.889,0.7137,1012,FloRes,Low Resource,High Resource
English,Swahili,4-Bit,31.8,61.09,0.8341,0.7794,1012,FloRes,High Resource,Low Resource
Swahili,English,4-Bit,43.81,65.51,0.8562,0.85,1012,FloRes,Low Resource,High Resource
English,German,Baseline,37.17,63.21,0.8686,0.8127,1012,FloRes,High Resource,High Resource
